Order ID,Order Date,Customer Name,Region,Category,Product,Quantity,Unit Price,Sales,Profit,Month
1001,2025-02-22,Customer_87,North,Electronics,Laptop,3,500,1500,176.92,February
1002,2025-09-16,Customer_78,North,Grocery,Rice,1,250,250,29.29,September
1003,2025-01-04,Customer_98,South,Fashion,Jacket,2,2500,5000,900.88,January
1004,2025-06-22,Customer_14,North,Grocery,Sugar,3,500,1500,174.91,June
1005,2025-01-23,Customer_94,West,Grocery,Rice,3,1000,3000,547.9,January
1006,2025-11-18,Customer_80,East,Electronics,Smartwatch,1,5000,5000,649.2,November
1007,2025-05-29,Customer_11,South,Fashion,T-Shirt,1,10000,10000,1187.43,May
1008,2025-07-06,Customer_21,East,Electronics,Smartwatch,3,2500,7500,1410.5,July
1009,2025-11-28,Customer_10,South,Furniture,Table,3,10000,30000,7176.94,November
1010,2025-11-24,Customer_89,South,Fashion,Jeans,4,2500,10000,1258.91,November
1011,2025-07-25,Customer_35,North,Furniture,Chair,2,250,500,108.43,July
1012,2025-11-26,Customer_59,South,Fashion,Shoes,2,10000,20000,3297.39,November
1013,2025-05-15,Customer_96,West,Furniture,Table,2,10000,20000,3508.65,May
1014,2025-02-16,Customer_97,North,Grocery,Sugar,2,500,1000,166.62,February
1015,2025-02-02,Customer_50,West,Electronics,Smartphone,2,10000,20000,3035.34,February
1016,2025-02-28,Customer_88,East,Grocery,Sugar,5,250,1250,244.56,February
1017,2025-01-02,Customer_93,East,Furniture,Chair,3,2500,7500,801.65,January
1018,2025-04-12,Customer_20,East,Fashion,T-Shirt,3,10000,30000,4989.08,April
1019,2025-02-27,Customer_47,East,Fashion,T-Shirt,5,1000,5000,815.31,February
1020,2025-02-13,Customer_94,West,Fashion,T-Shirt,2,5000,10000,2409.81,February
1021,2025-10-09,Customer_22,East,Electronics,Smartphone,2,10000,20000,3215.96,October
1022,2025-06-09,Customer_52,East,Grocery,Oil,5,10000,50000,9863.87,June
1023,2025-06-23,Customer_3,South,Grocery,Tea,1,500,500,59.1,June
1024,2025-04-28,Customer_9,North,Fashion,T-Shirt,1,10000,10000,1872.88,April
1025,2025-09-06,Customer_28,South,Furniture,Chair,5,500,2500,318.35,September
1026,2025-02-19,Customer_85,West,Grocery,Oil,4,2500,10000,1123.7,February
1027,2025-01-28,Customer_87,North,Furniture,Bed,4,2500,10000,2268.52,January
1028,2025-04-08,Customer_69,West,Electronics,Smartwatch,3,250,750,91.7,April
1029,2025-02-08,Customer_57,North,Fashion,Jacket,2,1000,2000,317.29,February
1030,2025-09-06,Customer_62,South,Electronics,Laptop,1,500,500,54.14,September
1031,2025-07-19,Customer_34,West,Grocery,Rice,2,2500,5000,401.83,July
1032,2025-03-21,Customer_25,East,Furniture,Bed,5,10000,50000,10106.47,March
1033,2025-06-10,Customer_8,North,Fashion,T-Shirt,5,10000,50000,8608.66,June
1034,2025-04-06,Customer_9,North,Grocery,Oil,1,5000,5000,468.09,April
1035,2025-11-01,Customer_6,North,Fashion,Jacket,1,5000,5000,609.28,November
1036,2025-06-10,Customer_31,East,Grocery,Sugar,3,500,1500,290.78,June
1037,2025-02-07,Customer_2,West,Grocery,Oil,3,2500,7500,1003.13,February
1038,2025-03-09,Customer_45,North,Electronics,Laptop,5,500,2500,415.0,March
1039,2025-10-06,Customer_91,East,Fashion,Shoes,3,500,1500,231.74,October
1040,2025-02-24,Customer_96,South,Electronics,Headphones,1,500,500,62.48,February
1041,2025-04-15,Customer_88,East,Furniture,Sofa,5,500,2500,504.99,April
1042,2025-05-22,Customer_6,North,Grocery,Sugar,1,250,250,46.96,May
1043,2025-10-10,Customer_91,West,Furniture,Table,3,500,1500,309.01,October
1044,2025-10-07,Customer_5,East,Electronics,Laptop,1,10000,10000,2336.68,October
1045,2025-01-21,Customer_46,South,Fashion,Jacket,2,250,500,66.2,January
1046,2025-07-28,Customer_80,South,Fashion,T-Shirt,3,5000,15000,3454.54,July
1047,2025-06-20,Customer_53,South,Fashion,Jeans,2,2500,5000,421.07,June
1048,2025-08-29,Customer_29,South,Furniture,Table,1,2500,2500,570.67,August
1049,2025-12-04,Customer_25,West,Grocery,Sugar,3,500,1500,176.85,December
1050,2025-09-18,Customer_52,East,Furniture,Sofa,1,1000,1000,139.69,September
1051,2025-05-16,Customer_5,North,Electronics,Laptop,3,500,1500,268.05,May
1052,2025-09-19,Customer_15,West,Grocery,Sugar,3,2500,7500,1372.92,September
1053,2025-09-24,Customer_69,South,Fashion,Shoes,1,10000,10000,1541.3,September
1054,2025-11-16,Customer_41,North,Furniture,Bed,1,10000,10000,2365.31,November
1055,2025-06-01,Customer_71,South,Furniture,Sofa,4,1000,4000,593.63,June
1056,2025-03-31,Customer_79,East,Fashion,Jacket,4,10000,40000,8287.32,March
1057,2025-10-24,Customer_78,East,Grocery,Rice,3,1000,3000,347.19,October
1058,2025-08-31,Customer_95,South,Grocery,Tea,4,10000,40000,4653.17,August
1059,2025-06-21,Customer_12,South,Electronics,Headphones,5,10000,50000,9380.0,June
1060,2025-05-06,Customer_61,North,Furniture,Table,2,500,1000,84.15,May
1061,2025-07-16,Customer_64,West,Grocery,Tea,5,500,2500,505.3,July
1062,2025-04-23,Customer_23,West,Fashion,Jeans,1,250,250,53.08,April
1063,2025-08-26,Customer_86,East,Electronics,Smartphone,1,2500,2500,256.67,August
1064,2025-09-01,Customer_58,East,Grocery,Tea,5,2500,12500,2906.57,September
1065,2025-05-21,Customer_57,North,Fashion,Shoes,5,2500,12500,2331.84,May
1066,2025-10-04,Customer_11,South,Furniture,Table,3,1000,3000,403.05,October
1067,2025-04-20,Customer_9,West,Fashion,Jeans,4,10000,40000,4239.08,April
1068,2025-04-16,Customer_54,West,Grocery,Sugar,5,2500,12500,1883.52,April
1069,2025-06-02,Customer_97,West,Electronics,Smartwatch,4,250,1000,240.27,June
1070,2025-09-06,Customer_4,West,Grocery,Oil,4,500,2000,252.8,September
1071,2025-11-15,Customer_69,North,Furniture,Bed,2,2500,5000,1181.61,November
1072,2025-08-25,Customer_24,North,Grocery,Rice,1,10000,10000,1528.64,August
1073,2025-06-22,Customer_98,West,Furniture,Bed,3,500,1500,235.95,June
1074,2025-10-04,Customer_7,East,Furniture,Bed,3,250,750,119.96,October
1075,2025-04-13,Customer_3,South,Fashion,T-Shirt,1,250,250,60.36,April
1076,2025-04-22,Customer_60,East,Fashion,Jeans,4,10000,40000,3977.85,April
1077,2025-02-28,Customer_100,South,Furniture,Table,5,5000,25000,6095.87,February
1078,2025-10-22,Customer_87,West,Furniture,Chair,5,250,1250,297.39,October
1079,2025-11-18,Customer_32,North,Grocery,Oil,1,5000,5000,987.02,November
1080,2025-08-08,Customer_85,East,Furniture,Chair,5,250,1250,173.78,August
1081,2025-02-24,Customer_56,East,Electronics,Headphones,1,2500,2500,549.49,February
1082,2025-11-30,Customer_35,West,Grocery,Oil,4,500,2000,409.49,November
1083,2025-05-06,Customer_12,East,Grocery,Tea,5,1000,5000,673.96,May
1084,2025-07-14,Customer_44,North,Grocery,Oil,4,5000,20000,3675.13,July
1085,2025-05-13,Customer_44,East,Grocery,Sugar,2,2500,5000,580.3,May
1086,2025-07-28,Customer_63,South,Furniture,Chair,5,500,2500,236.39,July
1087,2025-04-24,Customer_52,South,Grocery,Tea,4,250,1000,95.82,April
1088,2025-08-06,Customer_96,East,Furniture,Sofa,4,5000,20000,3405.13,August
1089,2025-03-03,Customer_93,South,Furniture,Bed,3,1000,3000,368.22,March
1090,2025-04-21,Customer_95,West,Furniture,Chair,5,10000,50000,5573.77,April
1091,2025-07-04,Customer_23,East,Furniture,Sofa,1,500,500,65.18,July
1092,2025-10-11,Customer_38,South,Electronics,Smartphone,3,250,750,184.22,October
1093,2025-09-03,Customer_57,East,Grocery,Rice,1,5000,5000,641.69,September
1094,2025-02-03,Customer_52,West,Fashion,T-Shirt,3,2500,7500,745.46,February
1095,2025-06-05,Customer_11,South,Electronics,Laptop,2,500,1000,217.89,June
1096,2025-04-26,Customer_100,West,Electronics,Smartwatch,5,5000,25000,5360.65,April
1097,2025-06-06,Customer_73,North,Grocery,Tea,3,5000,15000,3724.58,June
1098,2025-03-22,Customer_31,South,Electronics,Smartphone,2,1000,2000,384.55,March
