Order ID,Order Date,Customer Name,Region,Category,Product,Quantity,Unit Price,Sales,Profit
1001,2025-02-22,Customer_87,North,Electronics,Laptop,3,500,1500,176.92
1002,2025-09-16,Customer_78,North,Grocery,Rice,1,250,250,29.29
1003,2025-01-04,Customer_98,South,Fashion,Jacket,2,2500,5000,900.88
1004,2025-06-22,Customer_14,North,Grocery,Sugar,3,500,1500,174.91
1005,2025-01-23,Customer_94,West,Grocery,Rice,3,1000,3000,547.9
1006,2025-11-18,Customer_80,East,Electronics,Smartwatch,1,5000,5000,649.2
1007,2025-05-29,Customer_11,South,Fashion,T-Shirt,1,10000,10000,1187.43
1008,2025-07-06,Customer_21,East,Electronics,Smartwatch,3,2500,7500,1410.5
1009,2025-11-28,Customer_10,South,Furniture,Table,3,10000,30000,7176.94
1010,2025-11-24,Customer_89,South,Fashion,Jeans,4,2500,10000,1258.91
1011,2025-07-25,Customer_35,North,Furniture,Chair,2,250,500,108.43
1012,2025-11-26,Customer_59,South,Fashion,Shoes,2,10000,20000,3297.39
1013,2025-05-15,Customer_96,West,Furniture,Table,2,10000,20000,3508.65
1014,2025-02-16,Customer_97,North,Grocery,Sugar,2,500,1000,166.62
1015,2025-02-02,Customer_50,West,Electronics,Smartphone,2,10000,20000,3035.34
1016,2025-02-28,Customer_88,East,Grocery,Sugar,5,250,1250,244.56
1017,2025-01-02,Customer_93,East,Furniture,Chair,3,2500,7500,801.65
1018,2025-04-12,Customer_20,East,Fashion,T-Shirt,3,10000,30000,4989.08
1019,2025-02-27,Customer_47,East,Fashion,T-Shirt,5,1000,5000,815.31
1020,2025-02-13,Customer_94,West,Fashion,T-Shirt,2,5000,10000,2409.81
1021,2025-10-09,Customer_22,East,Electronics,Smartphone,2,10000,20000,3215.96
1022,2025-06-09,Customer_52,East,Grocery,Oil,5,10000,50000,9863.87
1023,2025-06-23,Customer_3,South,Grocery,Tea,1,500,500,59.1
1024,2025-04-28,Customer_9,North,Fashion,T-Shirt,1,10000,10000,1872.88
1025,2025-09-06,Customer_28,South,Furniture,Chair,5,500,2500,318.35
1026,2025-02-19,Customer_85,West,Grocery,Oil,4,2500,10000,1123.7
1027,2025-01-28,Customer_87,North,Furniture,Bed,4,2500,10000,2268.52
1028,2025-04-08,Customer_69,West,Electronics,Smartwatch,3,250,750,91.7
1029,2025-02-08,Customer_57,North,Fashion,Jacket,2,1000,2000,317.29
1030,2025-09-06,Customer_62,South,Electronics,Laptop,1,500,500,54.14
1031,2025-07-19,Customer_34,West,Grocery,Rice,2,2500,5000,401.83
1032,2025-03-21,Customer_25,East,Furniture,Bed,5,10000,50000,10106.47
1033,2025-06-10,Customer_8,North,Fashion,T-Shirt,5,10000,50000,8608.66
1034,2025-04-06,Customer_9,North,Grocery,Oil,1,5000,5000,468.09
1035,2025-11-01,Customer_6,North,Fashion,Jacket,1,5000,5000,609.28
1036,2025-06-10,Customer_31,East,Grocery,Sugar,3,500,1500,290.78
1037,2025-02-07,Customer_2,West,Grocery,Oil,3,2500,7500,1003.13
1038,2025-03-09,Customer_45,North,Electronics,Laptop,5,500,2500,415.0
1039,2025-10-06,Customer_91,East,Fashion,Shoes,3,500,1500,231.74
